    10 -3.330810e+000 -3.454622e+000 +1.238119e-001 +0.000000e+000
    20 -3.329714e+000 -3.459507e+000 +1.297930e-001 +0.000000e+000
    30 -3.328974e+000 -3.472776e+000 +1.438025e-001 +0.000000e+000
    40 -3.328120e+000 -3.476700e+000 +1.485797e-001 +0.000000e+000
    50 -3.327728e+000 -3.476084e+000 +1.483566e-001 +0.000000e+000
    60 -3.327904e+000 -3.485917e+000 +1.580135e-001 +0.000000e+000
    70 -3.328164e+000 -3.481368e+000 +1.532042e-001 +0.000000e+000
    80 -3.326876e+000 -3.476543e+000 +1.496670e-001 +0.000000e+000
    90 -3.326920e+000 -3.482642e+000 +1.557220e-001 +0.000000e+000
   100 -3.326217e+000 -3.478707e+000 +1.524895e-001 +0.000000e+000
   110 -3.325809e+000 -3.482036e+000 +1.562264e-001 +0.000000e+000
   120 -3.325921e+000 -3.480196e+000 +1.542750e-001 +0.000000e+000
   130 -3.326191e+000 -3.483752e+000 +1.575618e-001 +0.000000e+000
   140 -3.326257e+000 -3.482711e+000 +1.564542e-001 +0.000000e+000
   150 -3.325860e+000 -3.474617e+000 +1.487571e-001 +0.000000e+000
   160 -3.325973e+000 -3.480274e+000 +1.543002e-001 +0.000000e+000
   170 -3.325369e+000 -3.482336e+000 +1.569667e-001 +0.000000e+000
   180 -3.325361e+000 -3.473618e+000 +1.482569e-001 +0.000000e+000
   190 -3.324386e+000 -3.479403e+000 +1.550173e-001 +0.000000e+000
   200 -3.323415e+000 -3.475608e+000 +1.521927e-001 +0.000000e+000
   210 -3.323823e+000 -3.483656e+000 +1.598329e-001 +0.000000e+000
   220 -3.323711e+000 -3.477043e+000 +1.533316e-001 +0.000000e+000
   230 -3.324105e+000 -3.482405e+000 +1.583008e-001 +0.000000e+000
   240 -3.324336e+000 -3.479524e+000 +1.551875e-001 +0.000000e+000
   250 -3.323775e+000 -3.476418e+000 +1.526431e-001 +0.000000e+000
   260 -3.323583e+000 -3.479550e+000 +1.559671e-001 +0.000000e+000
   270 -3.323153e+000 -3.475776e+000 +1.526226e-001 +0.000000e+000
   280 -3.323744e+000 -3.479348e+000 +1.556035e-001 +0.000000e+000
   290 -3.323155e+000 -3.480874e+000 +1.577183e-001 +0.000000e+000
   300 -3.323244e+000 -3.480292e+000 +1.570479e-001 +0.000000e+000
   310 -3.323168e+000 -3.474186e+000 +1.510181e-001 +0.000000e+000
   320 -3.323427e+000 -3.477810e+000 +1.543823e-001 +0.000000e+000
   330 -3.322908e+000 -3.476879e+000 +1.539714e-001 +0.000000e+000
   340 -3.322430e+000 -3.478713e+000 +1.562832e-001 +0.000000e+000
   350 -3.322761e+000 -3.477657e+000 +1.548964e-001 +0.000000e+000
   360 -3.322647e+000 -3.479184e+000 +1.565377e-001 +0.000000e+000
   370 -3.322691e+000 -3.483147e+000 +1.604553e-001 +0.000000e+000
   380 -3.323619e+000 -3.474531e+000 +1.509122e-001 +0.000000e+000
   390 -3.323540e+000 -3.478192e+000 +1.546514e-001 +0.000000e+000
   400 -3.323246e+000 -3.478296e+000 +1.550501e-001 +0.000000e+000
   410 -3.322802e+000 -3.474027e+000 +1.512240e-001 +0.000000e+000
   420 -3.322389e+000 -3.475663e+000 +1.532736e-001 +0.000000e+000
   430 -3.322309e+000 -3.480369e+000 +1.580605e-001 +0.000000e+000
   440 -3.322663e+000 -3.479068e+000 +1.564055e-001 +0.000000e+000
   450 -3.323198e+000 -3.475457e+000 +1.522584e-001 +0.000000e+000
   460 -3.322436e+000 -3.473934e+000 +1.514981e-001 +0.000000e+000
   470 -3.322403e+000 -3.478115e+000 +1.557124e-001 +0.000000e+000
   480 -3.322709e+000 -3.476981e+000 +1.542719e-001 +0.000000e+000
   490 -3.322822e+000 -3.472150e+000 +1.493283e-001 +0.000000e+000
   500 -3.323156e+000 -3.482538e+000 +1.593814e-001 +0.000000e+000
   510 -3.323462e+000 -3.477747e+000 +1.542853e-001 +0.000000e+000
