    10  2.348255e-007 2.383492e-007 2.365642e-007
    20  2.353320e-007 2.388633e-007 2.370745e-007
    30  2.356429e-007 2.391788e-007 2.373877e-007
    40  2.358929e-007 2.394326e-007 2.376395e-007
    50  2.360175e-007 2.395590e-007 2.377650e-007
    60  2.360319e-007 2.395736e-007 2.377795e-007
    70  2.360085e-007 2.395499e-007 2.377559e-007
    80  2.361014e-007 2.396441e-007 2.378495e-007
    90  2.361329e-007 2.396762e-007 2.378813e-007
   100  2.361910e-007 2.397351e-007 2.379398e-007
   110  2.361939e-007 2.397381e-007 2.379427e-007
   120  2.361621e-007 2.397058e-007 2.379107e-007
   130  2.361739e-007 2.397178e-007 2.379225e-007
   140  2.361986e-007 2.397428e-007 2.379474e-007
   150  2.362363e-007 2.397811e-007 2.379854e-007
   160  2.362416e-007 2.397865e-007 2.379908e-007
   170  2.362866e-007 2.398322e-007 2.380362e-007
   180  2.363038e-007 2.398497e-007 2.380535e-007
   190  2.363594e-007 2.399061e-007 2.381095e-007
   200  2.363842e-007 2.399312e-007 2.381344e-007
   210  2.363688e-007 2.399156e-007 2.381189e-007
   220  2.363897e-007 2.399368e-007 2.381400e-007
   230  2.363214e-007 2.398675e-007 2.380711e-007
   240  2.363062e-007 2.398521e-007 2.380559e-007
   250  2.363527e-007 2.398992e-007 2.381027e-007
   260  2.363521e-007 2.398987e-007 2.381021e-007
   270  2.363775e-007 2.399245e-007 2.381277e-007
   280  2.363502e-007 2.398968e-007 2.381002e-007
   290  2.363687e-007 2.399155e-007 2.381189e-007
   300  2.363423e-007 2.398887e-007 2.380922e-007
   310  2.363815e-007 2.399285e-007 2.381317e-007
   320  2.363793e-007 2.399263e-007 2.381295e-007
   330  2.363885e-007 2.399356e-007 2.381387e-007
   340  2.364058e-007 2.399531e-007 2.381562e-007
   350  2.363762e-007 2.399231e-007 2.381263e-007
   360  2.363819e-007 2.399289e-007 2.381321e-007
   370  2.363968e-007 2.399440e-007 2.381471e-007
   380  2.363594e-007 2.399061e-007 2.381094e-007
   390  2.363745e-007 2.399214e-007 2.381247e-007
   400  2.364120e-007 2.399595e-007 2.381625e-007
   410  2.364345e-007 2.399823e-007 2.381851e-007
   420  2.364463e-007 2.399943e-007 2.381970e-007
   430  2.364440e-007 2.399919e-007 2.381946e-007
   440  2.364215e-007 2.399691e-007 2.381720e-007
   450  2.363812e-007 2.399282e-007 2.381314e-007
   460  2.363923e-007 2.399395e-007 2.381426e-007
   470  2.363989e-007 2.399462e-007 2.381493e-007
   480  2.363926e-007 2.399398e-007 2.381429e-007
   490  2.364026e-007 2.399499e-007 2.381530e-007
   500  2.363594e-007 2.399061e-007 2.381095e-007
